id,utc,rssi
e179b5fd69f2990e,2025-09-22T22:58:54.050303+00:00,-93
beec830848e2c147,2025-09-22T22:58:54.076635+00:00,-38
fdeb8c8bb44336c0,2025-09-22T22:58:54.083801+00:00,-76
ad3565130fc67076,2025-09-22T22:58:54.095533+00:00,-79
1a05b3e8c53a8478,2025-09-22T22:58:54.108156+00:00,-52
beec830848e2c147,2025-09-22T22:58:54.114923+00:00,-53
578f7423729f2c62,2025-09-22T22:58:54.154166+00:00,-70
3b2b0ebd7d52b012,2025-09-22T22:58:54.170497+00:00,-49
beec830848e2c147,2025-09-22T22:58:54.176608+00:00,-39
ec43af68232b6ebf,2025-09-22T22:58:54.179591+00:00,-74
e179b5fd69f2990e,2025-09-22T22:58:54.192503+00:00,-94
885841c22f58b8ef,2025-09-22T22:58:54.227382+00:00,-86
72aee4093924bb7f,2025-09-22T22:58:54.234870+00:00,-56
beec830848e2c147,2025-09-22T22:58:54.243927+00:00,-43
6c7835a65a9bddf2,2025-09-22T22:58:54.278380+00:00,-55
e7588156477da903,2025-09-22T22:58:54.282913+00:00,-60
beec830848e2c147,2025-09-22T22:58:54.329951+00:00,-43
ec43af68232b6ebf,2025-09-22T22:58:54.334141+00:00,-78
578f7423729f2c62,2025-09-22T22:58:54.339175+00:00,-63
3b2b0ebd7d52b012,2025-09-22T22:58:54.353961+00:00,-71
beec830848e2c147,2025-09-22T22:58:54.379701+00:00,-49
1a05b3e8c53a8478,2025-09-22T22:58:54.382995+00:00,-51
fbf558674514f3e2,2025-09-22T22:58:54.409242+00:00,-93
72aee4093924bb7f,2025-09-22T22:58:54.418096+00:00,-71
beec830848e2c147,2025-09-22T22:58:54.422612+00:00,-64
50b9a409b2d8ef68,2025-09-22T22:58:54.433100+00:00,-59
82b09a310ab35bea,2025-09-22T22:58:54.480492+00:00,-79
beec830848e2c147,2025-09-22T22:58:54.486193+00:00,-38
ec43af68232b6ebf,2025-09-22T22:58:54.491579+00:00,-66
3b2b0ebd7d52b012,2025-09-22T22:58:54.537243+00:00,-56
e7588156477da903,2025-09-22T22:58:54.542509+00:00,-61
beec830848e2c147,2025-09-22T22:58:54.546098+00:00,-53
fdeb8c8bb44336c0,2025-09-22T22:58:54.562707+00:00,-63
e179b5fd69f2990e,2025-09-22T22:58:54.601565+00:00,-94
72aee4093924bb7f,2025-09-22T22:58:54.640366+00:00,-49
ec43af68232b6ebf,2025-09-22T22:58:54.642868+00:00,-78
1a05b3e8c53a8478,2025-09-22T22:58:54.660928+00:00,-51
578f7423729f2c62,2025-09-22T22:58:54.701521+00:00,-48
3b2b0ebd7d52b012,2025-09-22T22:58:54.716719+00:00,-71
a01b5344d04112cf,2025-09-22T22:58:54.728418+00:00,-93
beec830848e2c147,2025-09-22T22:58:54.730894+00:00,-49
6f404b8d34b81f25,2025-09-22T22:58:54.763504+00:00,-75
885841c22f58b8ef,2025-09-22T22:58:54.769803+00:00,-97
6c7835a65a9bddf2,2025-09-22T22:58:54.792646+00:00,-59
beec830848e2c147,2025-09-22T22:58:54.805070+00:00,-63
e7588156477da903,2025-09-22T22:58:54.809100+00:00,-55
ec43af68232b6ebf,2025-09-22T22:58:54.811035+00:00,-72
beec830848e2c147,2025-09-22T22:58:54.850614+00:00,-53
a0a08aa0e7b6a615,2025-09-22T22:58:54.871088+00:00,-69
578f7423729f2c62,2025-09-22T22:58:54.898796+00:00,-70
3b2b0ebd7d52b012,2025-09-22T22:58:54.913435+00:00,-49
beec830848e2c147,2025-09-22T22:58:54.939126+00:00,-38
1a05b3e8c53a8478,2025-09-22T22:58:54.942632+00:00,-52
